throughput_max,throughput_avg,time_avg_ms,time_std_ms,time_p95_ms,batch_size,instance_type
275.0,261.3157894736842,7.098985475350059,0.6760734271281019,8.390868250046424,1,g5.xlarge
552.0,522.6315789473684,7.082554868049203,1.7820063268021937,8.35467040004687,2,g5.xlarge
825.0,783.9473684210526,7.072713290699926,0.5817119901099801,8.352077400070357,3,g5.xlarge
1100.0,1059.04,7.077905574299894,0.5877265180588422,8.337788350127084,4,g5.xlarge
1370.0,1306.3815789473683,7.095685769498823,0.6458558641758076,8.397461850017862,5,g5.xlarge
1644.0,1567.5,7.0872763194012585,0.6657980596280711,8.398266049960057,6,g5.xlarge
1925.0,1853.5066666666667,7.057639773700589,0.5549646241576434,8.350313449989244,7,g5.xlarge
2200.0,2090.2105263157896,7.074183191499276,1.9794739579883036,8.338903349908833,8,g5.xlarge
2475.0,2351.25,7.068889974248782,0.6144505060123554,8.380102599926431,9,g5.xlarge
2740.0,2613.4210526315787,7.108508026050299,0.7743478238330384,8.413127849917144,10,g5.xlarge
