throughput_max,throughput_avg,time_avg_ms,time_std_ms,time_p95_ms,batch_size,instance_type
259.0,254.09032258064516,15.339891369750035,0.08779660805930611,15.421609199574958,1,inf1.xlarge
452.0,331.51054852320675,17.836798715024816,7.2591410725808325,31.462230799797908,2,inf1.xlarge
720.0,710.9638554216867,16.468923775502187,0.1166354785911848,16.623981050497605,3,inf1.xlarge
764.0,535.8767123287671,22.08718011289934,7.457353388500029,32.91159184991557,4,inf1.xlarge
985.0,970.1980198019802,20.112997034299884,0.3069783737158982,20.653973800199314,5,inf1.xlarge
1104.0,1087.2222222222222,21.48229266417502,0.21791781468898874,21.822515199988857,6,inf1.xlarge
763.0,525.533203125,38.996458292775124,12.296174972441555,54.21281889985039,7,inf1.xlarge
1056.0,1024.1056105610562,30.264374707375044,0.7173225842468133,31.406871099966338,8,inf1.xlarge
765.0,524.7055214723927,49.7414757800494,15.518963907823112,67.6556244998551,9,inf1.xlarge
1000.0,977.9134860050891,39.19549930034846,0.5693910549935106,40.190074200131676,10,inf1.xlarge
